HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference,HCPCS_Desc,HCPCS_prefix,oncology_related
22634,2394.5,0.0024548848025141693,0.8366013071895425,0.015697232185229264,True,-16.33986928104575,Fusion of additional segment of spine with partial removal of spine bone and disc,2,False
32555,531399.0,3.234554006047078e-10,0.9424999999999999,6.2078555731442e-09,True,-5.750000000000011,Aspiration of fluid from chest cavity using imaging guidance,3,False
46221,26462.5,0.006697439352879587,0.7934922861150071,0.0364161887075991,True,-20.65077138849929,Removal of external hemorrhoids by rubber banding,4,False
49083,285862.5,4.6404293281025245e-12,0.8172573189522341,1.0215768682602175e-10,True,-18.274268104776592,Drainage of fluid from abdominal cavity using imaging guidance,4,False
51701,79826.0,8.024417862135799e-05,0.9444444444444444,0.0007236478035914032,True,-5.555555555555558,Insertion of temporary bladder tube,5,False
51702,457640.0,1.4336810769658026e-07,0.8425925925925926,2.1462205722178064e-06,True,-15.740740740740744,Simple insertion of temporary bladder tube,5,False
51705,39740.0,5.90916298523785e-05,0.8039215686274509,0.0005427004287669364,True,-19.60784313725491,Simple change of bladder tube,5,False
65820,33073.5,5.428982538785845e-10,0.9212331239621687,1.003356402538569e-08,True,-7.876687603783128,Incision to improve eye fluid flow,6,False
66183,2277.0,0.00017999402665759093,0.9100998890122086,0.0015223223610531843,True,-8.990011098779139,Insertion of eye fluid drainage device,6,False
67028,696084.5,4.2948287790363165e-05,0.9300488667958549,0.00040183491763858535,True,-6.995113320414514,Injection of drug into eye,6,True
67036,8208.0,0.00018420627407412631,0.9375,0.0015491954622975678,True,-6.25,Removal of eye fluid (vitreous) between lens and retina,6,False
73020,100817.0,9.628951332659001e-07,0.9411764705882353,1.2320119782043183e-05,True,-5.882352941176472,"X-ray of shoulder, 1 view",7,False
73100,293897.5,0.0025040970535697626,0.9475798613360978,0.015697232185229264,True,-5.2420138663902165,"X-ray of wrist, 2 views",7,False
73110,16081598.5,4.869605567497523e-33,0.9401709401709402,2.513723977428894e-31,True,-5.982905982905984,"X-ray of wrist, minimum of 3 views",7,False
74021,13317.0,0.0002096150952430673,0.9285714285714286,0.0017336673899385178,True,-7.14285714285714,"X-ray of abdomen, minimum of 3 views",7,False
76604,83542.0,0.0013765023510530214,0.939334637964775,0.009584297765238945,True,-6.0665362035224994,Ultrasound scan of chest,7,False
77014,647851.5,9.303524907940787e-24,0.6032626561472716,3.571122253124964e-22,True,-39.67373438527284,Ct guidance for insertion of radiation therapy fields,7,True
77280,450331.5,4.861185091139841e-07,0.9300317622576759,6.537796719643255e-06,True,-6.996823774232408,"Obtaining data needed to develop the optimal radiation treatment, 1 treatment area",7,True
77285,490.0,0.006010320568551616,0.3048118558272855,0.03332388848563618,True,-69.51881441727146,"Obtaining data needed to develop the optimal radiation treatment, 2 treatment areas",7,True
77336,98336.0,0.007338846638002494,0.9333196482945021,0.039377252391002635,True,-6.668035170549791,Continuing radiation therapy consultation per week,7,True
77427,735752.0,3.4300140580644505e-17,0.8127051815751175,1.0068100088083298e-15,True,-18.729481842488248,"Radiation treatment management, 5 treatment sessions",7,True
80164,2638.5,0.000913715814228244,0.8090812996266545,0.006685885110602052,True,-19.091870037334544,"Valproic acid level, total",8,False
80305,1873582.5,2.914129914658213e-07,0.8990384615384616,4.154716649755567e-06,True,-10.096153846153843,"Testing for presence of drug, read by direct observation",8,False
80307,1049613.0,1.3627471045951479e-06,0.8901839224282614,1.7143129542680136e-05,True,-10.981607757173862,"Testing for presence of drug, by chemistry analyzers",8,False
81000,737196.5,2.0248251523366798e-05,0.9330143540669857,0.00020790005897570674,True,-6.698564593301426,"Manual urinalysis test with examination using microscope, non-automated",8,False
81001,10437761.5,1.1931444301710675e-37,0.9454545454545455,6.869758507561876e-36,True,-5.454545454545445,"Manual urinalysis test with examination using microscope, automated",8,False
81002,52548200.5,1.3386014943328294e-83,0.9487179487179486,1.8217149427420417e-81,True,-5.128205128205144,"Urinalysis, manual test",8,False
81007,1610.0,0.005754875801912736,0.8268903445401957,0.03228449926750307,True,-17.310965545980427,Urinalysis for bacteria,8,False
82627,4023.0,0.0015625947381389244,0.8798563611491107,0.010681298278511277,True,-12.01436388508893,Dehydroepiandrosterone (dhea-s) hormone level,8,False
82668,2470.0,0.000758238869208868,0.9240782968890373,0.005647182025898883,True,-7.592170311096269,Erythropoietin (protein) level,8,False
82962,2327532.5,3.123167205474777e-07,0.9444444444444445,4.369515239809103e-06,True,-5.5555555555555465,Blood glucose (sugar) test performed by hand-held instrument,8,False
83036,147497034.0,4.1095444181033e-90,0.934526854219949,6.15198799390064e-88,True,-6.547314578005103,Hemoglobin a1c level,8,False
84132,58922.0,2.8400733968178127e-10,0.9026335115243194,5.52154529225489e-09,True,-9.736648847568063,Blood potassium level,8,False
84134,1937.5,8.350311768564965e-05,0.7804779160226034,0.0007485279471581888,True,-21.95220839773966,Prealbumin (protein) level,8,False
84295,17560.0,0.0010515162162383223,0.9311294765840221,0.007567883537061387,True,-6.887052341597788,Blood sodium level,8,False
85014,42530.5,0.0035462021249455253,0.9272727272727271,0.021319938076479725,True,-7.272727272727286,Red blood cell concentration measurement,8,False
85018,281151.5,0.0004621670606240522,0.9487666034155599,0.003548020973098493,True,-5.123339658444015,"Blood count, hemoglobin",8,False
85610,3695529.0,2.9069857691332434e-53,0.6263406263406264,2.559857468466156e-51,True,-37.36593736593736,"Blood test, clotting time",8,False
86235,13960.5,0.0027264342326040877,0.8630461553959193,0.01672734445167344,True,-13.695384460408066,"Measurement of antibody for assessment of autoimmune disorder, any method",8,False
87481,50465.0,0.004907665258268396,0.7592753220527347,0.028365926222501114,True,-24.072467794726528,"Detection test for candida species (yeast), amplified probe technique",8,False
87640,43589.0,0.006073668382246287,0.9476899053917518,0.033550854495286685,True,-5.23100946082482,"Detection test by nucleic acid for staphylococcus aureus (bacteria), amplified probe technique",8,False
87653,31326.0,0.006714006735669574,0.9401451003463679,0.0364161887075991,True,-5.985489965363211,"Detection test by nucleic acid for strep (streptococcus, group b), amplified probe technique",8,False
87801,14035.0,0.0008353022158263697,0.8844288139704098,0.006190333747980571,True,-11.557118602959015,"Detection test by nucleic acid for multiple organisms, amplified probe(s) technique",8,False
88344,100387.0,3.864877092872081e-05,0.8424309819658657,0.00036851726165793025,True,-15.756901803413426,"Special stained specimen slides to examine tissue, each multiplex procedure",8,False
88360,641991.5,2.1416283313216e-05,0.8741176470588234,0.00021662281162084022,True,-12.588235294117656,"Microscopic genetic analysis of tumor, manual",8,True
90935,816761.5,6.268238618327356e-06,0.9218181818181818,7.163017718806147e-05,True,-7.818181818181824,Hemodialysis procedure with physician evaluation,9,False
90970,17549.0,0.005496467847785977,0.7938342967244701,0.031167471091422757,True,-20.616570327552985,"Dialysis services, per day, less than full month service (20 years or older)",9,False
92145,2527.0,0.005909815594030222,0.8906250000000001,0.03288845332439867,True,-10.93749999999999,Measurement of corneal pressure,9,False
93289,35657.0,6.944315559656751e-07,0.8573232323232324,9.118982800707154e-06,True,-14.267676767676763,"Evaluation of single, dual, or multiple lead implantable defibrillator system",9,False
93793,908294.0,4.4599601558064325e-05,0.7825753140878832,0.0004146931896423745,True,-21.742468591211683,Anticoagulant management of patient taking warfarin,9,False
94660,3242.5,0.000543798845873715,0.8791446070798297,0.004132319148593661,True,-12.085539292017033,Therapy procedure using a positive pressure ventilator,9,False
95115,84571.5,2.3081951911855726e-09,0.6682569974554708,4.0178700014009325e-08,True,-33.174300254452916,Professional service for single injection of allergen,9,True
95117,537073.0,2.459018905691719e-14,0.6629173989455185,6.573484467536614e-13,True,-33.708260105448154,Professional service for multiple injections of allergen,9,True
95165,407929.0,0.00028604304277901507,0.8797726571765201,0.0022776938034052424,True,-12.02273428234799,Professional service for preparation and provision of 1 or more antigens,9,False
95251,1607338.0,8.697570655614106e-07,0.9309929250171278,1.1224364889184756e-05,True,-6.900707498287217,Continuous monitoring of blood sugar level in tissue fluid using sensor under skin with interpretation and report,9,False
95992,97706.5,0.002303546926542096,0.8792250656952444,0.014881509011135823,True,-12.077493430475561,"Repositioning exercises of head for treatment of dizziness, each day",9,False
96365,2718249.5,0.002070315051849896,0.9199999999999999,0.013533893592223994,True,-8.000000000000007,"Infusion into a vein for therapy, prevention, or diagnosis, 1 hour or less",9,True
96366,281614.5,2.2786773058549777e-07,0.7635649116712442,3.3442940459459823e-06,True,-23.643508832875582,"Infusion into a vein for therapy, prevention, or diagnosis, each additional hour",9,True
96367,441554.5,1.1835431083373938e-13,0.7281463406546868,2.9529400553017977e-12,True,-27.185365934531326,"Infusion into a vein for therapy, prevention, or diagnosis, additional sequential infusion, 1 hour or less",9,True
96368,31941.5,2.842518079490521e-08,0.707067315762968,4.4325516302055314e-07,True,-29.2932684237032,"Infusion into a vein for therapy, prevention, or diagnosis concurrent with another infusion",9,True
96401,491107.0,0.005388480962564089,0.838156597662301,0.03078838168304749,True,-16.184340233769902,Administration of non-hormonal anti-neoplastic chemotherapy under skin or into muscle,9,True
96411,36306.5,3.69741353144303e-09,0.7044303797468354,6.284476818041141e-08,True,-29.55696202531646,Administration of additional new drug or substance into vein using push technique,9,False
96413,1629471.5,1.4059233542746894e-09,0.8049232259988074,2.5357436883725422e-08,True,-19.50767740011926,"Administration of chemotherapy into vein, 1 hour or less",9,True
96415,636385.0,4.799410330106595e-07,0.8378360215053764,6.531561149245067e-06,True,-16.21639784946236,"Administration of chemotherapy into vein, each additional hour",9,True
96417,221637.5,5.060481421544113e-13,0.7722772277227723,1.1836782325080527e-11,True,-22.77227722772277,"Administration of additional new drug or substance into vein, 1 hour or less",9,False
96521,888.0,0.00029831739138984055,0.37957316374994843,0.0023628631476750863,True,-62.042683625005154,Refilling and maintenance of portable pump,9,False
96523,87318.5,8.231854390556576e-09,0.8226594272776823,1.3250630131895909e-07,True,-17.734057272231773,Irrigation of implanted venous access drug delivery device,9,False
