HCPCS_Cd,median_diff,n_pairs,p_value_fdr,payment_ratio,percent_difference
66984,2.3516456056953663,419,1.5033998029678016e-43,10.502839043333138,950.2839043333138
66982,1.5593386859986218,31,2.5992469389492005e-05,4.755675210391458,375.5675210391458
01922,0.15500370963379595,30,3.7328332416282213e-07,1.167662292696594,16.766229269659405
01940,0.08309868151937527,50,1.925060976748288e-06,1.0866490354353393,8.664903543533931
93000,0.06278242425920699,114,0.0007634446654590535,1.064795140434728,6.4795140434728005
93295,0.05026435204925406,149,0.00022793211804913706,1.051549038780376,5.154903878037609
93793,0.050230650550805334,36,0.03554974524044867,1.05151360059924,5.151360059924004
