feature,coefficient,p_value,lower_ci,upper_ci
C(Rndrng_Prvdr_State_Abrvtn)[T.VA],-0.15567757445414276,1.3751316835860374e-117,-0.1689131375531497,-0.14244201135513582
C(Rndrng_Prvdr_State_Abrvtn)[T.VT],-0.2637206491094977,9.994097737330715e-163,-0.28273440605660444,-0.244706892162391
C(Rndrng_Prvdr_State_Abrvtn)[T.WA],-0.1594456254650757,2.0942472946565525e-119,-0.17289624077013652,-0.1459950101600149
C(Rndrng_Prvdr_State_Abrvtn)[T.WI],-0.2661854962223114,0.0,-0.27972734620898054,-0.2526436462356423
C(Rndrng_Prvdr_State_Abrvtn)[T.WV],-0.286298370134556,6.914292750026667e-292,-0.30166595006018615,-0.27093079020892585
C(Rndrng_Prvdr_State_Abrvtn)[T.WY],-0.16738083397306383,2.2954663350731518e-67,-0.18629857319161805,-0.1484630947545096
C(Rndrng_Prvdr_Type_Grouped)[T.Anesthesiology],-2.3808015411973296,0.0,-2.3908690092976186,-2.3707340730970405
C(Rndrng_Prvdr_Type_Grouped)[T.Cardiology],-2.1486837948707618,0.0,-2.157338346384556,-2.1400292433569676
C(Rndrng_Prvdr_Type_Grouped)[T.Centralized Flu],-1.3451755023620244,0.0,-1.3564269593540639,-1.333924045369985
C(Rndrng_Prvdr_Type_Grouped)[T.Certified Registered Nurse Anesthetist (CRNA)],-2.442461477846892,0.0,-2.454628038771166,-2.4302949169226182
C(Rndrng_Prvdr_Type_Grouped)[T.Clinical Cardiac Electrophysiology],-1.893708501545876,0.0,-1.9045945296522826,-1.8828224734394696
C(Rndrng_Prvdr_Type_Grouped)[T.Clinical Laboratory],-1.8367216857773412,0.0,-1.8471088705802965,-1.8263345009743859
C(Rndrng_Prvdr_Type_Grouped)[T.Dermatology],-2.1312764953831635,0.0,-2.140276484703522,-2.1222765060628053
C(Rndrng_Prvdr_Type_Grouped)[T.Diagnostic Radiology],-2.5090398375809406,0.0,-2.517560495347083,-2.5005191798147983
C(Rndrng_Prvdr_Type_Grouped)[T.Emergency Medicine],-2.1805626143871106,0.0,-2.189631210248698,-2.1714940185255234
C(Rndrng_Prvdr_Type_Grouped)[T.Endocrinology],-2.2261143797892506,0.0,-2.237626614604919,-2.214602144973582
C(Rndrng_Prvdr_Type_Grouped)[T.Family Practice],-2.252760982634376,0.0,-2.2611606716044528,-2.244361293664299
